False_Positive_Rate,True_Positive_Rate,Threshold
0.03871319520174482,0.9457831325301205,0.2652083333333334
0.03871319520174482,0.9518072289156626,0.2626130952380953
0.04034896401308615,0.9518072289156626,0.25705952380952385
0.04034896401308615,0.9578313253012049,0.25477976190476187
0.05016357688113413,0.9578313253012049,0.21885119047619053
0.05016357688113413,0.963855421686747,0.21791666666666665
0.05779716466739367,0.963855421686747,0.18348214285714287
0.05779716466739367,0.9698795180722891,0.1815773809523809
0.06270447110141766,0.9698795180722891,0.1613095238095238
0.06270447110141766,0.9759036144578314,0.15954166666666664
0.06652126499454744,0.9759036144578314,0.15429761904761904
0.06652126499454744,0.9819277108433735,0.15164583333333334
0.08942202835332606,0.9819277108433735,0.08032738095238096
0.08942202835332606,0.9879518072289156,0.07989583333333333
0.10305343511450382,0.9879518072289156,0.061607142857142846
0.10414394765539804,0.9879518072289156,0.06158333333333333
0.11014176663031625,0.9879518072289156,0.05695833333333335
0.11014176663031625,0.9939759036144579,0.056958333333333326
0.14721919302071973,0.9939759036144579,0.03869642857142857
0.14830970556161396,0.9939759036144579,0.03866666666666667
0.17502726281352235,0.9939759036144579,0.03025
0.17502726281352235,1.0,0.03
0.1826608505997819,1.0,0.027291666666666665
0.1837513631406761,1.0,0.027083333333333334
0.19138495092693567,1.0,0.02534523809523809
0.19247546346782987,1.0,0.025250000000000005
0.20610687022900764,1.0,0.022000000000000002
0.20719738276990185,1.0,0.02175
0.22300981461286803,1.0,0.017708333333333333
0.22410032715376227,1.0,0.0175
0.22519083969465647,1.0,0.017494047619047617
0.22737186477644494,1.0,0.017208333333333336
0.22846237731733915,1.0,0.017125
0.2300981461286805,1.0,0.017083333333333332
0.23173391494002182,1.0,0.01673809523809524
0.23282442748091603,1.0,0.016666666666666666
0.23500545256270447,1.0,0.016416666666666666
0.2366412213740458,1.0,0.01625
0.23827699018538714,1.0,0.015845238095238093
0.23936750272628135,1.0,0.01583333333333333
0.2410032715376227,1.0,0.015666666666666666
0.2420937840785169,1.0,0.015624999999999998
0.24918211559432935,1.0,0.014702380952380953
0.25081788440567065,1.0,0.014583333333333332
0.2529989094874591,1.0,0.014404761904761905
0.25408942202835333,1.0,0.014375
0.25517993456924754,1.0,0.014166666666666668
0.25627044711014174,1.0,0.014166666666666666
0.2595419847328244,1.0,0.013763888888888888
0.2617230098146129,1.0,0.01375
0.26553980370774266,1.0,0.013205357142857144
0.2677208287895311,1.0,0.013125
0.2693565976008724,1.0,0.012875
0.27044711014176664,1.0,0.012708333333333335
0.27099236641221375,1.0,0.012708333333333332
0.27317339149400216,1.0,0.012375
0.27644492911668483,1.0,0.011666666666666667
0.27753544165757904,1.0,0.011541666666666667
0.2802617230098146,1.0,0.011291666666666667
0.2824427480916031,1.0,0.01125
0.28680479825517996,1.0,0.010958333333333332
0.28789531079607417,1.0,0.010833333333333332
0.2900763358778626,1.0,0.010666666666666665
